year,area,journeys
2005,   London,1.8
2005, Rest of England,2.2
2006,   London,1.88
2006, Rest of England,2.23
2007,   London,1.99
2007, Rest of England,2.3
2008,   London,2.16
2008, Rest of England,2.37
2009,   London,2.23
2009, Rest of England,2.41
2010,   London,2.24
2010, Rest of England,2.38
2011,   London,2.27
2011, Rest of England,2.35
2012,   London,2.32
2012, Rest of England,2.32
2013,   London,2.31
2013, Rest of England,2.26
2014,   London,2.38
2014, Rest of England,2.29
2015,   London,2.36
2015, Rest of England,2.26
2016,   London,2.29
2016, Rest of England,2.21
2017,   London,2.24
2017, Rest of England,2.2
2018,   London,2.23
2018, Rest of England,2.13
2019,   London,2.2
2019, Rest of England,2.12
