period,year,area,total
1,1996-97,England,932
2,1997-98,England,922
3,1998-99,England,1025
4,1999-00,England,1107
5,2000-01,England,1130
6,2001-02,England,1155
7,2002-03,England,1152
8,2003-04,England,1180
9,2004-05,England,1193
10,2005-06,England,1208
11,2006-07,England,1477
12,2007-08,England,1563
13,2008-09,England,1703
14,2009-10,England,1732
15,2010-11,England,1714
16,2011-12,England,1643
17,2012-13,England,1528
18,2013-14,England,1496
19,2014-15,England,1469
20,2015-16,England,1424
21,2016-17,England,1360
22,2017-18,England,1299
23,2018-19,England,1274
1,1996-97,London,255
2,1997-98,London,227
3,1998-99,London,235
4,1999-00,London,242
5,2000-01,London,315
6,2001-02,London,519
7,2002-03,London,819
8,2003-04,London,1006
9,2004-05,London,1022
10,2005-06,London,1079
11,2006-07,London,1091
12,2007-08,London,1142
13,2008-09,London,1205
14,2009-10,London,1148
15,2010-11,London,990
16,2011-12,London,946
17,2012-13,London,892
18,2013-14,London,902
19,2014-15,London,883
20,2015-16,London,912
21,2016-17,London,926
22,2017-18,London,918
23,2018-19,London,800
